T [GeV]		heff			          Sqrt[geff]		      Sqrt[g*]
0.1883649	37.95436203158507	6.431038693535165	8.41707177791899
0.1778279	35.01713683631828	6.180893194366192	8.54309955288999
0.1678806	31.859393050611004	5.88965908554173	8.564480504935537
0.1584893	28.687985944678328	5.573102667513064	8.350942027118611
0.1496236	25.783877881428864	5.2609866606639395	7.856462574706277
0.1412538	23.36411878037213	4.983745745873888	7.179805996840921
0.1333521	21.4912098747523	4.758207588522311	6.478285123444526
0.1258925	20.094057854919942	4.584134599172493	5.91740051888057
0.1188502	19.04663001059069	4.4508949041081936	5.411346749143182
0.1122018	18.33091556463178	4.345834604498928	5.002663625081221
0.1059253	17.816655964189998	4.274412764430143	4.796798648409017
0.1	    	17.38253809780133	4.217927129718362	4.675082978446871
0.09440609	17.006297087074024	4.168885054883542	4.568812967988728
0.0891251	  16.67355917727748	4.1255258535167645	4.482477474750473
0.0841395	  16.37630544543166	4.086908895861007	4.405267057423581
0.07943282	16.11017890369042	4.052568357526775	4.334953134746314
0.07498942	15.870549729478832	4.021947203739706	4.275961879495959
0.07079458	15.648801217275588	3.993839019357961	4.2309280029153
0.0668344  	15.436884715395033	3.9670721282805808	4.196546429667501
0.06309573	15.229080242480755	3.94079061881627	4.1685386367837465
0.05956621	15.022344592344705	3.91452094136644	4.143448311439644
0.05623413	14.815176758443569	3.8880110842479603	4.11986390202944
0.05308845	14.606643767600993	3.8610876718737672	4.0971022193472075
0.05011873	14.39625136804057	3.8336387568975643	4.074549096098269
0.04731512	14.183861430136414	3.8056032386713357	4.05174326281179
0.04466836	13.969634281421552	3.776963925856232	4.028310800111729
0.04216965	13.75397677884149	3.7477416789799216	4.0039583378986805
0.03981072	13.53751635111958	3.7179932837371057	3.978425966528458
0.03548133	13.10560985669453	3.6573087907119683	3.923218248457783
0.03162277	12.682231412076497	3.5959934474581914	3.861604295381207
0.02818383	12.277329002391777	3.535543253658921	3.793798310018166
0.02511886	11.901249344308468	3.477717713401141	3.7203015339217287
0.02238721	11.568450503937575	3.424418491115539	3.6344595009938554
0.01995262	11.300699705962376	3.377648687225091	3.543715701092483
0.01778279	11.108283510477209	3.341833187576935	3.457077602424735
0.01584893	10.987778951345444	3.3195427331803455	3.390256238885654
0.01412538	10.91618230054128	3.3066294161193968	3.3492125893018145
0.01258925	10.873531602835856	3.2989457256541654	3.324322239095261
0.01122018	10.849565535188093	3.2945793382260047	3.307657237459112
0.01	    	10.83737466630089	3.292342063262896	3.300298905892034
0.00891251	10.829899334264342	3.290936487767969	3.2944875449072546
0.007943284	10.828395500803442	3.290693494182182	3.290537409008181
0.007079456	10.82887509173976	3.2908407551515713	3.290083095547512
0.006309573	10.829155690092136	3.2909516545724737	3.2907643337901917
0.005623413	10.82826745794953	3.290836860893407	3.2918561623384104
0.005011873	10.825933367212603	3.2904448360960856	3.292751477361981
0.004466837	10.822456335763995	3.2898422616941962	3.2930382075300813
0.003981071	10.81831692342026	3.289132562902495	3.2930287565959735
0.003548133	10.81364644429124	3.2883475796011763	3.292707006261015
0.003162278	10.808971871485065	3.287604393524445	3.2916624136935786
